Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Chile,subnational,"clean conditional","Clean transportation",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","new or extended regulation (IT)","Ministry of Energy","Infrastructure projects for clean public transport, which contribute to the mitigation of greenhouse gases, through the incorporation of measurements of transport with low or zero emissions, or infrastructure that promotes said means of transport, are classified in this category incorporating measures to make transport in cities more efficient.",06/07/2021,06/07/2021,CLP,96889472121,122223000,96889472121,122223000,"Projects based on their alignment with the criteria established in the Chilean Sustainable Bond Framework. Applies NDC when it comes to clean transportation projects, related to the Adaptation and Mitigation Plan for Infrastructure Services to Climate Change that aim to mitigate GHG emissions in sustainable cities and communities, energy efficiency and clean transportation. The following types of projects can be found under this classification: Expansion and construction of new Metro lines (Line 7, extensions L2 and L3); Incorporation of electric buses to the RED system: Concepción and Temuco; Enabling of train services: Santiago-Melipilla; express train to Chillán; renovation of trains to Rancagua; Updating of transportation plans, including bike paths and bike paths: such as the cities of Curicó and Linares, Machalí-Rancagua; among others. ","https://s3.amazonaws.com/gobcl-prod/public_files/Campañas/Chile-se-Recupera/Chile-se-recupera-2.0/210630_Reporte_Sustentabilidad_Inv_Publica_v6.pdf ",
Chile,subnational,"clean unconditional","Change your heat",Buildings,"energy efficiency","energy efficiency","new or extended regulation (IT)","Ministry of Energy","The purpose of this replacement is not only to improve people's quality of life and be more economical, but also to make the use of heating in homes much safer and to bring benefits in areas such as the environment.",26/05/2021,26/05/2021,CLP,0,0,0,0,"Homes that change to cheaper and cleaner heating methods will have their rate reduced by 20 to 30% and only pay in the period of consumption.","https://www.recambiatucalor.cl , https://energia.gob.cl/noticias/nacional/subsecretario-de-energia-lanza-programa-recambia-tu-calor-en-el-biobio",
Chile,subnational,"clean conditional","Investment in local energy efficiency","Multiple sectors","multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","new or extended regulation (IT)","Ministry of Energy","Generate and implement replicable and innovative sustainable energy initiatives in Chilean municipalities through energy management and the participation of local stakeholders.",01/01/2021,01/01/2021,CLP,3799000000,4792319,0,0,"Municipal Energy, 51 Local Energy Strategies have already been developed, with long-term citizen visions and action plans that guide towards a more sustainable, competitive and resilient local development to climate change.",https://www.agenciase.org/wp-content/uploads/2022/06/Reporte-AgenciaSE-2020-2021-V1.pdf,
Chile,National,"clean conditional","Energy Sector Strategy to a Just Transition &#8211; 1st Part: Closure of coal-firepower plants","Power generation",coal,"exploration or production or processing or storage or transportation","new or extended regulation (IT)","Ministry of Energy","The energy sector will contribute decisively to achieve carbon neutrality through the closure and/or new uses for coal-fired power plant infrastructures and spaces, increasing the participation of clean energy in the national energy matrix and articulating policies that allow a fair, equitable and sustainable development for the country and its territories.",16/09/2021,16/09/2021,CLP,0,0,0,0,"A fundamental pillar of the Just Transition Strategy is people, so actions were designed in a participatory manner during the closure process and/or new uses of the spaces and infrastructure of the coal-fired power plants. The strategy seeks to promote a fair energy transition in the social and labor spheres that boost the training of labor skills, in pursuit of reintegration and labor reconversion towards quality jobs that allow promoting the local development of communities and the well-being of people.",https://energia.gob.cl/sites/default/files/documentos/estrategia_transicion_justa_2021.pdf,"https://mma.gob.cl/gobierno-anuncia-el-retiro-del-50-de-las-centrales-a-carbon-al-2025/ , https://energia.gob.cl/sites/default/files/plan_de_retiro_y_o_reconversion_centrales_carbon.pdf"
Chile,National,"other energy","Covid-19 Solidarity Benefit  (ban on service cuts due to unpaid bills for electricity and gas during the pandemy)","Power generation","multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","loan (Hybrid)","Ministry of Energy","Maintain energy provision to low income groups during the pandemic",01/04/2020,08/08/2020,CLP,0,0,0,0,"Financial relief for low income households, maintaining energy provision during the pandemic and rescheduling unpaid bills once the state of emergency is over",https://energia.gob.cl/mini-sitio/beneficio-solidario-covid-19,"https://www.bcn.cl/leyfacil/recurso/suspension-del-corte-de-servicios-basicos-de-los-clientes-deudores#:~:text=Se%20proh%C3%ADbe%20a%20las%20empresas,establecimientos%20que%20la%20ley%20indica."
Chile,National,"other energy","Loan for renewable energy investment projects","Multiple sectors","multiple renewable","several energy stages","loan (Hybrid)","Ministry of Economy","Support eco-friendly investments that aim to build a solid economy, resilient to climate change, and addressing the economic needs in the post Covid-19 setting. ",10/06/2020,01/07/2020,CLP,13476359000,17000000,13476359000,17000000,"USD 39 M - later adjusted to USD 17 M - loan to support the development of renewable energy projects linked to power and infrastructure.",https://www.corfo.cl/sites/cpp/sala_de_prensa/nacional/10_06_2020_corfo_crea_credito_verde,"https://www.leychile.cl/Navegar?idNorma=1146464 ; , http://wapp4.corfo.cl/archivos/CUENTAPUBLICAPARTICIPATIVACORFO2020.pdf ; , http://wapp4.corfo.cl/archivos/WCSCONTI/DOCS/CUENTAPUBLICA2021.pdf"
Chile,National,"clean unconditional","National Strategy for Green Hydrogen",Resources,hydrogen,"exploration or production or processing or storage or transportation","new or extended regulation (IT)","Ministry of Energy","Produce the cheapest green hydrogen in the world in 2030, being one of the 3 largest hydrogen exports in 2040, and start developing 5 GW of electrolisis capacity towards 2025",03/11/2020,,CLP,39636350000,50000000,39636350000,50000000,"Achieve world leadership in the production and export green hydrogen as a way to develop a stronger and more sustainable economy in the country",https://energia.gob.cl/sites/default/files/national_green_hydrogen_strategy_-_chile.pdf,https://energia.gob.cl/noticias/nacional/gobierno-presenta-la-estrategia-nacional-para-que-chile-sea-lider-mundial-en-hidrogeno-verde
Argentina,national,"clean unconditional","Green productive development plan &#8211; National Renewable Cluster","Power generation","multiple renewable","several energy stages","budget or off-budget transfer (DT)","Ministry of Productive Development","Creation of a productive conglomerate of equipment, services and technology in renewable services and technology for renewable energy electricity generation, that guarantees the participation of national actors in renewable energy electricity generation projects, essential for the energy transition. This cluster is initiated with active participation of the provinces and based on wind, solar and small hydroelectric generation.",21/07/2021,,ARS,1250000000,17720694,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy","https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
Argentina,,"clean conditional","Green productive development plan &#8211; Agreement with the industry for the local manufacture of electric bicycles.",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of Productive Development","Agreement reached with the chambers ADIMRA, CADIEEL, CIMBRA, to promote local integration in the production of electric bicycles. This agreement involves the implementation by the Ministry of Productive Development of supply support tools, technical assistance and financing through the Suppliers Program. It also includes demand financing through a line of credit from Banco Nación.

",21/06/2021,,ARS,3000000000,42529665,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy","https://www.argentina.gob.ar/noticias/inversion-de-10000-millones-del-gobierno-nacional-en-tecnologias-limpias
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
Argentina,national,"clean unconditional","Green productive development plan &#8211; Development Program Solar Thermal Industry","Power generation",solar,"exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Ministry of Productive Development","Promote domestic production of solar water heaters through technical assistance, financing, and product certification. 
Promote the demand for domestic solar water heaters by including them in the bidding documents for urban development and social housing, both by the national government and the provinces. ",21/06/2021,,ARS,115000000,1630304,0,0,"Productive development minister Matías Kulfas launched a US$100mn four-pillars green productive development plan to promote sustainable industrialization of natural resources, circular economy transition, sustainable production and the green economy.","https://www.argentina.gob.ar/noticias/inversion-de-10000-millones-del-gobierno-nacional-en-tecnologias-limpias
, https://www.argentina.gob.ar/sites/default/files/plan_desarrollo_productivo_verde.pdf",
