code,iso,country,region,EPI.new,HLT.new,AIR.new,HAD.new,PMD.new,OZD.new,NOE.new,SOE.new,COE.new,VOE.new,H2O.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,MSW.new,REC.new,OCP.new,ECO.new,BDH.new,TBN.new,TBG.new,MPA.new,PAR.new,SHI.new,SPI.new,BHV.new,ECS.new,TCL.new,GRL.new,WTL.new,FSH.new,FSS.new,RMS.new,FTD.new,ACD.new,SDA.new,NXA.new,AGR.new,SPU.new,SNM.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,FGA.new,NDA.new,BCA.new,GHN.new,LCB.new,GIB.new,GHP.new,EPI.rgn.mean,EPI.rgn.rank,HLT.rgn.mean,HLT.rgn.rank,AIR.rgn.mean,AIR.rgn.rank,HAD.rgn.mean,HAD.rgn.rank,PMD.rgn.mean,PMD.rgn.rank,OZD.rgn.mean,OZD.rgn.rank,NOE.rgn.mean,NOE.rgn.rank,SOE.rgn.mean,SOE.rgn.rank,COE.rgn.mean,COE.rgn.rank,VOE.rgn.mean,VOE.rgn.rank,H2O.rgn.mean,H2O.rgn.rank,USD.rgn.mean,USD.rgn.rank,UWD.rgn.mean,UWD.rgn.rank,HMT.rgn.mean,HMT.rgn.rank,PBD.rgn.mean,PBD.rgn.rank,WMG.rgn.mean,WMG.rgn.rank,MSW.rgn.mean,MSW.rgn.rank,REC.rgn.mean,REC.rgn.rank,OCP.rgn.mean,OCP.rgn.rank,ECO.rgn.mean,ECO.rgn.rank,BDH.rgn.mean,BDH.rgn.rank,TBN.rgn.mean,TBN.rgn.rank,TBG.rgn.mean,TBG.rgn.rank,MPA.rgn.mean,MPA.rgn.rank,PAR.rgn.mean,PAR.rgn.rank,SHI.rgn.mean,SHI.rgn.rank,SPI.rgn.mean,SPI.rgn.rank,BHV.rgn.mean,BHV.rgn.rank,ECS.rgn.mean,ECS.rgn.rank,TCL.rgn.mean,TCL.rgn.rank,GRL.rgn.mean,GRL.rgn.rank,WTL.rgn.mean,WTL.rgn.rank,FSH.rgn.mean,FSH.rgn.rank,FSS.rgn.mean,FSS.rgn.rank,RMS.rgn.mean,RMS.rgn.rank,FTD.rgn.mean,FTD.rgn.rank,ACD.rgn.mean,ACD.rgn.rank,SDA.rgn.mean,SDA.rgn.rank,NXA.rgn.mean,NXA.rgn.rank,AGR.rgn.mean,AGR.rgn.rank,SPU.rgn.mean,SPU.rgn.rank,SNM.rgn.mean,SNM.rgn.rank,WRS.rgn.mean,WRS.rgn.rank,WWT.rgn.mean,WWT.rgn.rank,PCC.rgn.mean,PCC.rgn.rank,CCH.rgn.mean,CCH.rgn.rank,CDA.rgn.mean,CDA.rgn.rank,CHA.rgn.mean,CHA.rgn.rank,FGA.rgn.mean,FGA.rgn.rank,NDA.rgn.mean,NDA.rgn.rank,BCA.rgn.mean,BCA.rgn.rank,GHN.rgn.mean,GHN.rgn.rank,LCB.rgn.mean,LCB.rgn.rank,GIB.rgn.mean,GIB.rgn.rank,GHP.rgn.mean,GHP.rgn.rank
4,AFG,Afghanistan,Southern Asia,43.6,16,15.5,7.4,16,18.4,37.8,61.2,42.7,37.5,28.1,28.4,27.8,0,0,4.4,1.1,11.1,NA,36.9,30.7,20.6,51.5,NA,5.2,90.8,13.4,41.9,61.8,58.3,44.8,100,NA,NA,NA,NA,35.5,0,71,44.2,37.3,51,0,0,65.6,65.6,83.9,50.2,NA,63.7,42.9,45.3,100,77.5,100,31.6375,1,23.725,6,19.625,4,19.4625,8,18.9,4,13.3625,3,25.15,2,35.6125,2,18.95,2,28.6,2,30.8875,4,32.8625,5,29.575,4,32.6875,8,32.6875,8,19.475,8,21.0625,8,13.7625,6,20.74,6,36.45,5,38.85,6,47.425,5,56.4875,5,7.7,6,16.4375,6,88.9,4,30.475,6,38.4125,2,45.7875,2,41.45,2,50.91428571,4,55.01428571,1,34.34,6,41.16,6,34.52,6,7.4,4,35.725,5,24.5875,7,46.8625,1,33.0375,1,28.61428571,2,39.25,1,0.7625,4,0.7625,4,30.475,1,30.475,1,15.9375,1,41.0875,3,70.25,4,52.7,3,55.225,5,30.2625,3,57.42857143,1,50.3625,1,75.5625,1
24,AGO,Angola,Sub-Saharan Africa,30.5,20.5,23.1,17.9,24,36.8,32.4,60.2,30.3,8.3,12.8,14.1,12,36.7,36.7,9.6,0,19,19.5,28.6,30.1,34.1,36.6,0,30.2,88.4,31.8,61.5,29.4,15.5,41.7,100,24.3,43.9,17.6,7.9,50.5,39,61.9,24.9,20.4,29.3,0,0,37.7,37.7,39,49.7,57.7,70.4,51.8,26.4,37.9,45.2,62.3,37.04565217,36,23.57608696,30,25.13478261,24,16.15652174,12,27.57173913,28,38.79347826,21,41.40217391,37,59.17391304,29,42.5,32,24.43913043,38,15.99347826,27,16.7,21,15.52608696,29,40.73478261,28,40.73478261,28,16.84565217,35,11.79782609,46,15.1326087,14,39.30333333,27,42.64347826,44,54.50217391,38,70.44565217,37,73.06956522,39,14.01,19,36.34347826,27,78.67045455,23,54.08181818,35,46.48478261,6,34.2826087,15,23.22857143,16,45.71777778,16,56.34318182,1,25.73,10,43.05833333,10,18.17666667,7,14.9952381,18,57.2826087,35,62.95652174,43,51.60652174,13,30.7326087,32,29.60243902,25,32.8826087,31,5.752173913,27,5.752173913,27,37.96521739,19,37.96521739,19,23.21521739,11,34.86956522,11,60,15,56.88043478,13,51.17173913,31,47.15434783,39,29.32790698,17,49.21521739,28,76.68043478,35
8,ALB,Albania,Eastern Europe,47.1,40,37.5,34.5,36.7,63.7,29.5,43.3,61.5,46.9,54.1,59.6,50.3,45.5,45.5,13.4,0.5,20.5,32.1,45.5,63.9,100,100,14.7,41,82.2,63.6,34.8,24.2,22.9,24.2,31.8,17.3,NA,30.2,0.8,90.2,100,80.4,28.9,20.2,37.6,1.9,1.9,52.5,52.5,42.3,50.1,59.4,76.9,100,53.9,87.3,49.6,61.5,53.23684211,15,53.29473684,17,45.18421053,14,55.41578947,17,38.01578947,9,52.82631579,5,24.04736842,5,36.66842105,5,55.74736842,2,48.15789474,9,67.57894737,18,74.24736842,18,63.12105263,18,64.57368421,17,64.57368421,17,51.01578947,19,67.92105263,19,23.22631579,12,41.28333333,10,55.68421053,16,69.38421053,14,84.58947368,1,86.59473684,1,64.68333333,10,40.76315789,10,80.44210526,14,69.56842105,14,37.26842105,13,27.95263158,11,17.05789474,7,54.69473684,19,66.52631579,16,23.55833333,6,34.37142857,18,25.25,4,11.41666667,12,92.86842105,16,92.81052632,1,92.93684211,16,46.86315789,17,40.61052632,16,53.09473684,16,42.75263158,16,42.75263158,16,50.47368421,8,50.47368421,8,54.46842105,18,55.95263158,13,60.53684211,14,67.19473684,6,94.80526316,1,40.11578947,5,53.62631579,2,58.85789474,14,33.30526316,1
784,ARE,United Arab Emirates,Greater Middle East,52.4,49.4,41.7,100,3.4,20.4,0,14,25.7,13.1,67.2,90.5,51.7,53.6,53.6,43.4,67.6,24.5,13.8,70.4,80.3,97.2,97.2,100,29,81.4,42.4,60.7,100,NA,NA,100,26.2,40.7,11.7,NA,59.2,57.7,60.6,17.4,21.1,13.7,92.1,92.1,34,34,42,20.8,70.8,39,100,13.3,100,54.7,0,36.65625,1,43.35,5,38.6875,6,79.08125,1,10.90625,11,34.8625,16,7.7,13,15.98125,7,31.025,9,30.66875,15,56.2625,3,65.925,2,49.8375,5,41.00625,5,41.00625,5,39.1,6,56.15625,5,16.73125,4,26.87142857,12,39.4125,1,33.2875,1,39.63125,2,39.3875,2,18.5,1,15.93125,2,89.26666667,11,29.08125,3,52.93125,5,50.9125,1,40.96363636,16,74.45,16,67.44666667,1,19.52142857,3,36.47777778,3,15.17142857,8,11.13,16,65.7125,11,77.19375,12,54.2625,7,39.575,15,43.26,13,36.5125,16,38.94375,1,38.94375,1,30.08125,6,30.08125,6,34.78125,6,25.25,9,64.83333333,7,44.9125,10,60.71875,1,19.0125,10,39.15384615,1,38.9875,3,30.825,12
32,ARG,Argentina,Latin America & Caribbean,41.1,56.3,52,60.5,48.2,51.8,22.8,68.5,66.2,16.3,64.8,72.6,59.5,72.2,72.2,42.4,71.2,9.6,17.7,38.9,42.4,41.7,56.7,43,17.2,69.5,37.1,43.2,23,14.2,54.2,45,5.8,5.6,5.5,6.3,85.4,100,70.7,74.1,69.8,78.4,5.9,5.9,35.5,35.5,51.8,40.2,10.6,47.7,83.1,11.7,86.7,29.2,33.4,44.290625,22,44.471875,4,43.65,6,47.771875,8,36.753125,6,68.31875,25,43.515625,27,62.521875,15,65.20625,17,34.88125,20,47.028125,4,51.99375,3,43.7125,3,50.1,3,50.1,3,36.90625,13,46.9875,10,15.3375,26,37.86,26,43.478125,23,57.278125,25,73.159375,29,71.8,24,34.8,11,55.796875,31,60.38461538,14,41.4875,19,48.203125,22,26.83125,19,14.78125,17,61.87741935,15,67.55,21,23.14666667,29,32.15833333,24,16.17666667,28,21.21764706,16,72.278125,12,80.53125,1,64.01875,15,32.678125,1,37.08,2,32.653125,1,12.08125,17,12.08125,17,45.0875,23,45.0875,23,38.853125,7,43.975,19,59.51904762,20,69.35625,28,70.465625,9,46.684375,30,51.75,4,42.784375,24,50.959375,29
51,ARM,Armenia,Former Soviet States,48.3,40.7,32.1,56.7,12.4,28.1,20.9,33.5,53.2,43.1,57.3,50.7,61.7,50.2,50.2,37.5,49.5,13.5,NA,58.1,73.3,100,100,NA,15.8,92.4,50.3,43,59.7,58.2,28.7,100,NA,NA,NA,NA,39.2,27.3,51,45.5,33.3,57.6,4.5,4.5,41.4,41.4,29.2,40.1,58.6,0,30.6,47.5,100,40,59.4,41.1,3,37.35,6,31.09166667,6,46.71666667,4,16.275,8,40.80833333,9,23.45833333,9,38.54166667,8,57.825,10,49.29166667,8,50.58333333,2,48.99166667,6,51.63333333,1,47.375,6,47.375,6,28.63333333,4,35.16666667,4,16.03333333,9,32.4,9,45.78333333,1,47.84166667,1,57.20833333,1,60.55,1,23.4,9,19.01666667,6,90.45,7,44.725,7,42.725,7,49.39166667,5,49.14166667,6,42.5,12,57.54545455,1,16.86666667,9,22.35,9,16.4,9,14.6,8,59.08333333,9,55.675,11,62.475,9,45.29166667,8,40.03333333,8,50.53333333,4,16.725,9,16.725,9,37.95,4,37.95,4,36.28333333,9,36.2,7,62.86666667,7,41.58333333,12,64.725,12,29.90833333,2,72.95833333,1,51.75,7,39.86666667,3
28,ATG,Antigua and Barbuda,Latin America & Caribbean,52.4,55.8,56.5,69.3,37.1,100,77.2,62.2,91.6,91.4,50.1,57.4,45.2,59.8,59.8,62.3,75.2,15.3,83.7,43.6,54.2,88.7,84.8,2.6,53.7,NA,39.1,34,39.5,19.4,100,100,19.7,30.4,9,NA,93.2,100,86.5,5.1,NA,5.1,15.7,15.7,60.2,60.2,37.4,50.2,60.9,79,69,83.5,88.6,48,40,44.290625,4,44.471875,5,43.65,3,47.771875,4,36.753125,17,68.31875,1,43.515625,5,62.521875,18,65.20625,1,34.88125,3,47.028125,11,51.99375,9,43.7125,13,50.1,10,50.1,10,36.90625,1,46.9875,6,15.3375,12,37.86,1,43.478125,18,57.278125,20,73.159375,10,71.8,13,34.8,19,55.796875,17,60.38461538,28,41.4875,15,48.203125,30,26.83125,2,14.78125,10,61.87741935,1,67.55,1,23.14666667,15,32.15833333,11,16.17666667,24,21.21764706,22,72.278125,1,80.53125,1,64.01875,2,32.678125,31,37.08,27,32.653125,32,12.08125,8,12.08125,8,45.0875,8,45.0875,8,38.853125,17,43.975,9,59.51904762,9,69.35625,11,70.465625,18,46.684375,6,51.75,3,42.784375,13,50.959375,26
36,AUS,Australia,Global West,60.1,86.4,91.1,98.1,100,78.1,15.7,37.8,60.5,18.5,87.1,95.9,81.2,76.4,76.4,69,95,52.9,33.1,62.3,82.1,90.9,90.4,100,45.8,87.4,72.8,56.4,20.1,0,100,60.6,14.6,16,16,11.2,88.6,100,77.2,67.9,86.7,49.2,92.9,92.9,43.8,43.8,59.4,83.6,63.5,89.4,69.7,13.6,35.4,71.5,0.3,63.29545455,13,84.41363636,8,82.59090909,6,97.27272727,15,81.62727273,1,57.08636364,3,22.29545455,13,55.97272727,21,62.57727273,12,61.10454545,22,95.27727273,19,95.61363636,15,95.05,21,84.59545455,16,84.59545455,16,67.06363636,8,95.94090909,14,33.71818182,2,37.17368421,12,60.01363636,6,74.76363636,7,87.02272727,12,87.86363636,13,80.15263158,1,47.99545455,13,80.56190476,9,65.12727273,9,46.03636364,6,28.04090909,13,15.4952381,20,60.82380952,1,51.095,7,20.32631579,15,23.19444444,13,25.75789474,11,8.35,4,97.99090909,21,98.65454545,1,97.31818182,21,47.69090909,4,47.085,1,50.45909091,12,78,10,78,10,55.81363636,17,55.81363636,17,64.84545455,12,61.7,2,79.98636364,19,77.63636364,7,97.93181818,22,40.11818182,19,55.54761905,18,64.80909091,7,24.05,22
40,AUT,Austria,Global West,66.5,81.7,75,95.7,69.3,44.9,15.5,59.9,52.9,50.3,94.7,86.7,100,90.7,90.7,77.4,98.1,36,NA,73.9,86,100,100,NA,70.3,84.8,79.8,44,28,12.9,100,46.6,NA,NA,NA,NA,100,100,100,70.6,73.1,68,94,94,50.3,50.3,54.3,70.5,89.9,69.2,100,31.4,78.2,54.1,22.2,63.29545455,7,84.41363636,16,82.59090909,18,97.27272727,19,81.62727273,17,57.08636364,19,22.29545455,14,55.97272727,10,62.57727273,21,61.10454545,16,95.27727273,16,95.61363636,19,95.05,1,84.59545455,11,84.59545455,11,67.06363636,2,95.94090909,9,33.71818182,8,37.17368421,20,60.01363636,1,74.76363636,3,87.02272727,1,87.86363636,1,80.15263158,20,47.99545455,4,80.56190476,12,65.12727273,4,46.03636364,10,28.04090909,7,15.4952381,10,60.82380952,1,51.095,10,20.32631579,20,23.19444444,19,25.75789474,20,8.35,20,97.99090909,1,98.65454545,1,97.31818182,1,47.69090909,3,47.085,4,50.45909091,3,78,9,78,9,55.81363636,10,55.81363636,10,64.84545455,15,61.7,7,79.98636364,8,77.63636364,15,97.93181818,1,40.11818182,10,55.54761905,3,64.80909091,16,24.05,11
31,AZE,Azerbaijan,Former Soviet States,38.6,30.7,22.1,40.6,2,35.5,32.7,38.9,59.4,42.7,45.6,44.3,46.5,40.4,40.4,30.8,39,14.4,NA,44.4,46.2,50.7,62.2,NA,10.8,96,50.7,29.2,58.1,64.6,29,48.6,NA,NA,NA,NA,31.9,8.4,55.4,51.4,38.4,64.3,3.9,3.9,36.4,36.4,32.9,41.6,54.4,36.5,64.6,28.9,100,22.2,42.1,41.1,7,37.35,9,31.09166667,10,46.71666667,7,16.275,9,40.80833333,8,23.45833333,2,38.54166667,5,57.825,7,49.29166667,9,50.58333333,10,48.99166667,10,51.63333333,11,47.375,9,47.375,9,28.63333333,6,35.16666667,8,16.03333333,7,32.4,5,45.78333333,6,47.84166667,7,57.20833333,9,60.55,8,23.4,5,19.01666667,10,90.45,3,44.725,6,42.725,11,49.39166667,6,49.14166667,4,42.5,11,57.54545455,6,16.86666667,5,22.35,5,16.4,5,14.6,4,59.08333333,11,55.675,12,62.475,8,45.29166667,3,40.03333333,6,50.53333333,2,16.725,10,16.725,10,37.95,7,37.95,7,36.28333333,7,36.2,5,62.86666667,8,41.58333333,7,64.725,6,29.90833333,7,72.95833333,1,51.75,12,39.86666667,8
